chrom chromStart chromEnd name score strand signalValue pValue qValue
1 chr1 10000 10599 . 500 . 3.66043626134 4.29433050765e-32 5.31507713093e-31
2 chr1 29000 30199 . 500 . 14.0549394909 7.80981006641e-30 8.32190499665e-29
3 chr1 242400 242799 . 500 . 162.412634117 4.50007696946e-18 2.0579095727e-17
4 chr1 540400 541599 . 500 . 5.75211412497 2.84466734663e-09 5.8032686782e-09
5 chr1 562800 563799 . 500 . 4.56785533453 4.11117295698e-05 4.93230297172e-05
6 chr1 672400 673199 . 500 . 10.1507896323 8.63863798436e-09 1.66988736563e-08
7 chr1 712800 713799 . 500 . 14.2111054852 2.43024702655e-13 7.4806041286e-13
8 chr1 762000 763599 . 500 . 8.12063170584 2.20549557195e-15 8.09447087173e-15
9 chr1 839800 840999 . 500 . 10.1507896323 1.4571979627e-12 4.18463480118e-12
10 chr1 858000 861399 . 500 . 13.8905542337 1.44035749438e-41 3.29923550779e-40
11 chr1 876000 878799 . 500 . 19.0327305606 2.79076161234e-42 6.68385743008e-41
12 chr1 895000 895199 . 500 . 121.809475588 1.33705412115e-13 4.2411721868e-13
13 chr1 895600 896999 . 500 . 16.2412634117 8.6091424888e-16 3.27280157347e-15
14 chr1 901200 903799 . 500 . 26.9386340242 2.6199808768e-73 2.58068116364e-71
15 chr1 911400 911999 . 500 . 7.61309222422 5.04094294922e-07 7.76933519629e-07
16 chr1 937200 937599 . 500 . 142.111054852 8.22679850892e-16 3.15731823021e-15
17 chr1 948200 949799 . 500 . 5.97105272488 8.56431904792e-11 2.04590652023e-10
18 chr1 955600 957599 . 500 . 18.7789608197 4.36941746499e-35 6.62134800463e-34
19 chr1 958000 961399 . 500 . 10.9026999754 2.60387425768e-40 5.47590259903e-39
20 chr1 994400 995599 . 500 . 12.6884870404 2.2910837513e-13 7.08044246365e-13
21 chr1 996600 1000199 . 500 . 15.8232897209 3.61528117967e-45 1.00582153028e-43
22 chr1 1004400 1005799 . 500 . 9.64325015068 4.91328642422e-14 1.61471280056e-13
23 chr1 1013400 1014199 . 500 . 20.3015792646 9.98070406106e-14 3.20857959208e-13
24 chr1 1014600 1015999 . 500 . 8.03604179223 1.29671511665e-12 3.74222736044e-12
25 chr1 1056200 1057599 . 500 . 9.42573322999 2.86433296959e-10 6.53209325476e-10
26 chr1 1136400 1137399 . 500 . 71.0555274261 1.66441484825e-23 1.14536821783e-22
27 chr1 1143600 1144199 . 500 . 32.1441671689 6.34718208268e-24 4.45906045868e-23
28 chr1 1166600 1167399 . 500 . 21.5704279686 1.01944971868e-18 4.92394030337e-18
29 chr1 1167800 1168799 . 500 . 19.0327305606 5.04786257836e-16 1.9750133992e-15
30 chr1 1180600 1181399 . 500 . 13.0510152415 9.99495632468e-16 3.75996728238e-15
31 chr1 1183400 1185399 . 500 . 9.09341571227 1.81327661998e-27 1.63904545217e-26
32 chr1 1208600 1209199 . 500 . 263.92053044 5.4226324397e-30 5.870027003e-29
33 chr1 1209600 1210399 . 500 . 13.9573357444 5.8010183301e-11 1.398718012e-10
34 chr1 1239400 1241799 . 500 . 8.99729081044 5.39938752412e-25 4.09068877027e-24
35 chr1 1242200 1243199 . 500 . 14.2111054852 2.43024702655e-13 7.4806041286e-13
36 chr1 1243600 1245199 . 500 . 26.392053044 2.372544628e-29 2.45457133505e-28
37 chr1 1259600 1259999 . 500 . 17.7638818565 1.01666559048e-08 1.94347889218e-08
38 chr1 1278400 1282199 . 500 . 28.5824865962 1.52025978767e-114 5.96060491191e-112
39 chr1 1283000 1285399 . 500 . 23.069976437 1.04385314015e-50 3.84865779784e-49
40 chr1 1291400 1292999 . 500 . 16.4950331525 4.35835845239e-24 3.13334006234e-23
41 chr1 1293400 1297399 . 500 . 10.5221599847 1.50890718186e-56 7.55167644143e-55
42 chr1 1309800 1310799 . 500 . 11.278655147 6.0550633444e-16 2.35214233903e-15
43 chr1 1334000 1334599 . 500 . 14.2111054852 2.43024702655e-13 7.4806041286e-13
44 chr1 1335000 1335599 . 500 . 15.2261844484 1.23709667517e-21 7.42424269122e-21
45 chr1 1341800 1342999 . 500 . 10.7852139843 1.26972550993e-13 4.05110581081e-13
46 chr1 1358000 1359199 . 500 . 6.20326033085 3.96065342124e-07 6.17994796136e-07
47 chr1 1368400 1369599 . 500 . 6.92099293111 1.48464247684e-09 3.0927229867e-09
48 chr1 1376400 1377199 . 500 . 25.3769740807 6.21343240074e-13 1.85399577771e-12
49 chr1 1406600 1407399 . 500 . 10.9966887683 3.97353262516e-11 1.00180884028e-10
50 chr1 1440000 1441399 . 500 . 6.24663977372 2.22149802942e-09 4.55126237797e-09
51 chr1 1446800 1447799 . 500 . 86.2817118745 2.59512417152e-29 2.68001670834e-28
52 chr1 1509400 1511199 . 500 . 19.7376465072 4.32976403673e-34 6.10863812912e-33
53 chr1 1520600 1521799 . 500 . 8.12063170584 9.96511973417e-07 1.47747959594e-06
54 chr1 1532200 1533199 . 500 . 25.3769740807 6.21343240074e-13 1.85399577771e-12
55 chr1 1550000 1552199 . 500 . 9.61653754639 3.10362171484e-24 2.24857309313e-23
56 chr1 1589600 1591399 . 500 . 10.1507896323 4.58851247338e-15 1.64689773404e-14
57 chr1 1623400 1624799 . 500 . 15.2261844484 1.09060431875e-28 1.07701698887e-27
58 chr1 1625400 1626399 . 500 . 5.70981916817 6.28200196937e-06 8.40598315698e-06
59 chr1 1655200 1657199 . 500 . 7.15169269548 1.38254661642e-17 6.13095541195e-17
60 chr1 1672200 1673599 . 500 . 5.07539481615 5.57256131234e-07 8.47044494951e-07
61 chr1 1676400 1678799 . 500 . 21.1474784006 7.27787918653e-49 2.45578009025e-47
62 chr1 1709400 1710799 . 500 . 21.7516920692 6.81678109039e-31 7.78938863976e-30
63 chr1 1820800 1821999 . 500 . 32.990066305 1.72917432443e-17 7.5748918411e-17
64 chr1 1823000 1823999 . 500 . 19.2865003014 1.19359013376e-19 6.18662543308e-19
65 chr1 1827600 1828399 . 500 . 6.52550762076 1.97246757086e-06 2.80441260658e-06
66 chr1 1828800 1829599 . 500 . 5.07539481615 4.05011726936e-05 4.89743080551e-05
67 chr1 1839400 1841599 . 500 . 17.7638818565 1.32829221255e-26 1.14441863947e-25
68 chr1 1851000 1851799 . 500 . 10.9966887683 3.97353262516e-11 1.00180884028e-10
69 chr1 1891000 1892799 . 500 . 5.07539481615 1.8702064626e-08 3.39736280428e-08
70 chr1 1976000 1976999 . 500 . 8.24751657624 1.54731276268e-09 3.20656982372e-09
71 chr1 2063400 2064799 . 500 . 13.0510152415 9.99495632468e-16 3.75996728238e-15
72 chr1 2071000 2072199 . 500 . 4.79342843747 4.35019446427e-08 7.6832915149e-08
73 chr1 2125000 2127399 . 500 . 19.7376465072 4.32976403673e-34 6.10863812912e-33
74 chr1 2143600 2144999 . 500 . 8.28090733161 2.24487249687e-19 1.13838404926e-18
75 chr1 2158200 2159199 . 500 . 20.3015792646 5.58691131262e-21 3.21142518532e-20
76 chr1 2160400 2160999 . 500 . 40.6031585292 1.03291910703e-12 3.01360870256e-12
77 chr1 2221400 2223599 . 500 . 8.38543491364 2.33586409827e-23 1.5893288137e-22
78 chr1 2245600 2246599 . 500 . 55.8293429776 5.95774236131e-18 2.69582559271e-17
79 chr1 2322200 2324199 . 500 . 25.3769740807 6.93456541065e-33 9.10144724766e-32
80 chr1 2342800 2345999 . 500 . 17.1596681879 7.0362988773e-62 4.56825168467e-60
81 chr1 2382200 2383199 . 500 . 35.527763713 4.787991717e-27 4.21788275148e-26
82 chr1 2383600 2385399 . 500 . 16.9179827205 1.12597164826e-27 1.04661844802e-26
83 chr1 2457200 2457999 . 500 . 10.1507896323 2.61739772675e-11 6.67605863434e-11
84 chr1 2465600 2467399 . 500 . 10.612189161 2.33035928092e-17 1.01509298484e-16
85 chr1 2477200 2478799 . 500 . 16.2412634117 8.93311751545e-29 8.91160796105e-28
86 chr1 2487200 2488399 . 500 . 5.92129395217 3.3966825841e-08 6.05817728569e-08
87 chr1 2509600 2509999 . 500 . 8.12063170584 9.96511973417e-07 1.47747959594e-06
88 chr1 2517200 2518999 . 500 . 31.7212176009 2.37849500686e-30 2.63870137573e-29
89 chr1 2573400 2574999 . 500 . 20.3015792646 5.58691131262e-21 3.21142518532e-20
90 chr1 2587800 2589199 . 500 . 3.58263163493 4.91937813835e-05 5.86620680456e-05
91 chr1 2592200 2593599 . 500 . 2.4501906009 0.000872886922772 0.000937969214892
92 chr1 2597400 2597999 . 500 . 9.13571066907 9.72308693876e-08 1.65089956439e-07
93 chr1 2599000 2599999 . 500 . 4.35033841384 6.76057413654e-06 8.98488552529e-06
94 chr1 2600800 2602999 . 500 . 4.02531313005 1.00781082452e-08 1.9376582426e-08
95 chr1 2609000 2609799 . 500 . 4.15259575867 8.94332346524e-05 0.000104722915873
96 chr1 2613200 2614399 . 500 . 8.24751657624 1.54731276268e-09 3.20656982372e-09
97 chr1 2622600 2623599 . 500 . 5.6393275735 2.71466753511e-06 3.80579986398e-06
98 chr1 3109800 3110799 . 500 . 14.2111054852 2.43024702655e-13 7.4806041286e-13
99 chr1 3228000 3231199 . 500 . 10.6583291139 5.70894932552e-43 1.43036942328e-41
100 chr1 3371200 3372199 . 500 . 13.9573357444 5.8010183301e-11 1.398718012e-10
101 chr1 3387200 3389199 . 500 . 20.7629787933 6.18171440959e-44 1.60900737495e-42
102 chr1 3420000 3421799 . 500 . 10.8758460346 3.85882590405e-22 2.40973499234e-21
103 chr1 3540600 3541799 . 500 . 71.0555274261 1.66441484825e-23 1.14536821783e-22
104 chr1 3566400 3566599 . 500 . 15.2261844484 2.07569492917e-07 3.36675254524e-07
105 chr1 3569400 3570199 . 500 . 20.3015792646 9.98070406106e-14 3.20857959208e-13
106 chr1 3688000 3689599 . 500 . 10.1507896323 8.15826110179e-14 2.63757851381e-13
107 chr1 3773600 3774199 . 500 . 11.1658685955 7.04438271609e-10 1.52981358296e-09
108 chr1 3816200 3817799 . 500 . 19.794039783 1.08452074782e-37 1.92810085439e-36
109 chr1 4008000 4008999 . 500 . 6.42883343379 6.42885916725e-11 1.54237354315e-10
110 chr1 4035800 4037599 . 500 . 12.6884870404 4.74745971714e-24 3.40242373807e-23
111 chr1 4365000 4366199 . 500 . 12.6884870404 2.2910837513e-13 7.08044246365e-13
112 chr1 4436400 4437999 . 500 . 11.7124495757 4.69244669478e-23 3.12892065323e-22
113 chr1 4438800 4439799 . 500 . 5.80045121845 1.45012990629e-05 1.85740121985e-05
114 chr1 4712800 4713199 . 500 . 18.6097809925 2.20249234761e-12 6.24589933781e-12
115 chr1 4726400 4727799 . 500 . 6.52550762076 1.42360680848e-10 3.32550048938e-10
116 chr1 4728200 4728999 . 500 . 7.33112584555 6.70591520176e-09 1.31754538184e-08
117 chr1 4750800 4751799 . 500 . 9.64325015068 4.91328642422e-14 1.61471280056e-13
118 chr1 5020800 5023999 . 500 . 9.93012029246 3.33542384024e-30 3.66340566525e-29
119 chr1 5706400 5706999 . 500 . 8.88194092826 1.8379766388e-06 2.6402375265e-06
120 chr1 5727200 5727799 . 500 . 3.04523688969 0.000987385409573 0.00105886710714
121 chr1 6036800 6037799 . 500 . 15.2261844484 8.39301537318e-10 1.79887737296e-09
122 chr1 6051400 6053999 . 500 . 6.228893638 3.45067247826e-14 1.14461330986e-13
123 chr1 6085200 6087999 . 500 . 13.8727458308 2.32147521695e-33 3.11036659506e-32
124 chr1 6217000 6218599 . 500 . 5.07539481615 5.13634734674e-11 1.2498154951e-10
125 chr1 6255400 6256399 . 500 . 8.12063170584 9.96511973417e-07 1.47747959594e-06
126 chr1 6259400 6259599 . 500 . 15.2261844484 2.07569492917e-07 3.36675254524e-07
127 chr1 6265000 6266799 . 500 . 12.3259588392 1.75948071714e-26 1.50015935208e-25
128 chr1 6295600 6296599 . 500 . 42.2949568012 1.62262301364e-33 2.21088230792e-32
129 chr1 6446000 6446999 . 500 . 3.62528201153 0.000144159136607 0.000165006689792
130 chr1 6453800 6454999 . 500 . 7.61309222422 1.38565975014e-08 2.58906451117e-08
131 chr1 6500600 6501399 . 500 . 15.2261844484 3.50089536148e-12 9.65641611443e-12
132 chr1 6507000 6507799 . 500 . 20.3015792646 9.98070406106e-14 3.20857959208e-13
133 chr1 6508200 6509399 . 500 . 7.10555274261 3.17943877765e-09 6.42328946065e-09
134 chr1 6549800 6553599 . 500 . 9.30489049627 2.5770753311e-41 5.79398620455e-40
135 chr1 6613800 6614599 . 500 . 12.1809475588 5.30768176271e-11 1.28721932702e-10
136 chr1 6640000 6640399 . 500 . 10.1507896323 1.59457446989e-07 2.63119518767e-07
137 chr1 6659400 6660399 . 500 . 7.25056402307 2.44487312739e-07 3.85319560162e-07
138 chr1 6661600 6664199 . 500 . 18.85146646 3.53792267754e-48 1.16066968624e-46
139 chr1 6672800 6674599 . 500 . 19.1737137499 8.80236197763e-33 1.14909638836e-31
140 chr1 6684600 6686199 . 500 . 13.0510152415 9.99495632468e-16 3.75996728238e-15
141 chr1 6761200 6762199 . 500 . 13.3229113924 4.39605530575e-18 2.02787730289e-17
142 chr1 6783600 6785999 . 500 . 3.73976460137 1.90618646677e-09 3.93738804104e-09
143 chr1 6803000 6803999 . 500 . 9.58685687495 8.78566759734e-13 2.58211503146e-12
144 chr1 6844200 6844999 . 500 . 30.4523688969 6.15516791431e-16 2.38319657151e-15
145 chr1 6845400 6846799 . 500 . 15.2261844484 3.50089536148e-12 9.65641611443e-12
146 chr1 7021800 7022799 . 500 . 5.07539481615 1.70975605418e-05 2.15714928909e-05
147 chr1 7028800 7029799 . 500 . 13.0510152415 9.99495632468e-16 3.75996728238e-15
148 chr1 7033800 7034599 . 500 . 10.1507896323 1.59457446989e-07 2.63119518767e-07
149 chr1 7177400 7178399 . 500 . 4.75818264014 2.379983427e-07 3.76777191564e-07
150 chr1 7358200 7360399 . 500 . 5.80045121845 3.20528186145e-12 8.87698073516e-12
151 chr1 7361400 7361999 . 500 . 7.33112584555 6.70591520176e-09 1.31754538184e-08
152 chr1 7439600 7439999 . 500 . 12.6884870404 8.87978655621e-10 1.88431429163e-09
153 chr1 7448800 7450799 . 500 . 5.23400090415 1.16535493746e-14 4.04607207141e-14
154 chr1 7463600 7464999 . 500 . 8.30519151733 2.54507010528e-12 7.12438807446e-12
155 chr1 7529000 7530199 . 500 . 10.1507896323 4.73412399043e-10 1.04731352487e-09
156 chr1 7530600 7532799 . 500 . 25.8845135624 3.71257354767e-54 1.64590078029e-52
157 chr1 7586400 7587399 . 500 . 8.45899136025 5.3651659684e-08 9.34491786669e-08
158 chr1 7608800 7611399 . 500 . 11.6435528135 4.67502604919e-29 4.75224350234e-28
159 chr1 7740200 7741199 . 500 . 8.45899136025 5.3651659684e-08 9.34491786669e-08
160 chr1 7764800 7765199 . 500 . 40.6031585292 1.03291910703e-12 3.01360870256e-12
161 chr1 7831000 7832199 . 500 . 19.0327305606 5.04786257836e-16 1.9750133992e-15
162 chr1 7844800 7845199 . 500 . 40.6031585292 1.03291910703e-12 3.01360870256e-12
163 chr1 7948600 7949399 . 500 . 3.62528201153 0.000144159136607 0.000165006689792
164 chr1 7953600 7954799 . 500 . 6.52550762076 1.42360680848e-10 3.32550048938e-10
165 chr1 7959800 7960799 . 500 . 4.61399528741 1.72874790814e-05 2.16611598149e-05
166 chr1 8001000 8001999 . 500 . 5.07539481615 5.57256131234e-07 8.47044494951e-07
167 chr1 8002400 8002799 . 500 . 35.527763713 4.72872296634e-11 1.16220480428e-10
168 chr1 8021200 8022199 . 500 . 11.1658685955 3.49203680006e-17 1.49717794763e-16
169 chr1 8085600 8087399 . 500 . 17.3409322885 3.51484231098e-37 6.08200141199e-36
170 chr1 8121200 8122599 . 500 . 5.76749410926 1.40635644303e-12 4.05006468883e-12
171 chr1 8134200 8136599 . 500 . 6.52550762076 1.13335675585e-14 3.93991101633e-14
172 chr1 8137000 8139999 . 500 . 3.83474274998 2.67770417722e-11 6.80633600925e-11
173 chr1 8149800 8149999 . 500 . 10.1507896323 4.73412399043e-10 1.04731352487e-09
174 chr1 8150800 8152199 . 500 . 9.47407032348 2.90288445838e-19 1.45462743907e-18
175 chr1 8153800 8154599 . 500 . 12.6884870404 6.15610890882e-17 2.59821156089e-16
176 chr1 8155000 8155399 . 500 . 15.2261844484 3.50089536148e-12 9.65641611443e-12
177 chr1 8176600 8177799 . 500 . 6.16297941961 9.88703090865e-10 2.08626708754e-09
178 chr1 8178200 8178799 . 500 . 17.7638818565 1.02789214216e-14 3.59974985046e-14
179 chr1 8193200 8193999 . 500 . 6.9786678722 1.15377627426e-07 1.92726052246e-07
180 chr1 8194800 8195599 . 500 . 4.73703516174 5.58136829968e-07 8.46238697757e-07
181 chr1 8227200 8228199 . 500 . 9.13571066907 9.72308693876e-08 1.65089956439e-07
182 chr1 8242800 8243599 . 500 . 4.06031585292 0.000213030135931 0.000240100263701
183 chr1 8256400 8258799 . 500 . 8.32364749848 7.07176109324e-25 5.33558499606e-24
184 chr1 8259200 8260199 . 500 . 5.53679434489 5.05337393681e-07 7.72847461792e-07
185 chr1 8260600 8261199 . 500 . 12.6884870404 8.87978655621e-10 1.88431429163e-09
186 chr1 8261800 8262999 . 500 . 7.61309222422 3.88393975739e-10 8.7741516608e-10
187 chr1 8271000 8272399 . 500 . 9.81242997789 2.84982280719e-20 1.53616362384e-19
188 chr1 8401800 8404399 . 500 . 13.6112860979 2.79549069337e-46 8.29421779146e-45
189 chr1 8483000 8484199 . 500 . 55.8293429776 1.32262643363e-32 1.70637916901e-31
190 chr1 8585600 8586399 . 500 . 2.53769740807 0.00124787662847 0.00132837999987
191 chr1 8763000 8763999 . 500 . 10.1507896323 8.15826110179e-14 2.63757851381e-13
192 chr1 8877000 8878399 . 500 . 10.432756011 4.73199582803e-26 3.91657807305e-25
193 chr1 8882000 8882599 . 500 . 3.69119622993 0.000422313410863 0.000464793409716
194 chr1 8931800 8932799 . 500 . 4.15259575867 8.94332346524e-05 0.000104722915873
195 chr1 8936800 8939599 . 500 . 15.4864611057 1.37177120392e-96 3.06270784128e-94
196 chr1 8940200 8941399 . 500 . 2.53769740807 0.000876907549835 0.000941987373208
197 chr1 8949200 8950399 . 500 . 3.31852737979 7.47574527225e-06 9.8000505929e-06
198 chr1 8950800 8951399 . 500 . 7.61309222422 1.38565975014e-08 2.58906451117e-08
199 chr1 8959200 8960999 . 500 . 6.18563743218 2.56771064427e-19 1.29726765192e-18
200 chr1 8962200 8962599 . 500 . 5.92129395217 3.33224765647e-05 4.09311129573e-05
201 chr1 8963000 8965799 . 500 . 4.47828954366 1.24698182495e-16 5.13354902492e-16
202 chr1 8977200 8978199 . 500 . 8.70067682768 2.928270901e-09 5.9516184175e-09
203 chr1 9002200 9002999 . 500 . 7.25056402307 2.44487312739e-07 3.85319560162e-07
204 chr1 9033600 9034599 . 500 . 6.09047377938 1.75410126105e-07 2.86542777794e-07
205 chr1 9043400 9044399 . 500 . 4.44097046413 1.2246296337e-06 1.78653316825e-06
206 chr1 9045200 9048599 . 500 . 5.24457464335 1.72158502102e-25 1.36963394684e-24
207 chr1 9126400 9127399 . 500 . 7.84379198859 2.24525197472e-11 5.75864358669e-11
208 chr1 9188200 9189599 . 500 . 14.303385391 2.61544086622e-26 2.19251851339e-25
